classifier,size,train,valid
weka.classifiers.functions.MultilayerPerceptron,3790,1.05263157894737,0.0
weka.classifiers.functions.MultilayerPerceptron,3789,34.04255319148936,27.272727272727266
weka.classifiers.meta.AttributeSelectedClassifier,3304,64.21052631578948,90.0
weka.classifiers.functions.MultilayerPerceptron,3791,1.0638297872340416,0.0
weka.classifiers.trees.J48,1793,2.1276595744680833,0.0
weka.classifiers.trees.J48,1798,2.10526315789474,0.0
weka.classifiers.trees.J48,1797,1.0638297872340416,9.090909090909093
weka.classifiers.trees.J48,1798,2.10526315789474,0.0
weka.classifiers.trees.J48,1719,3.1578947368421098,0.0
weka.classifiers.trees.J48,1708,2.1276595744680833,9.090909090909093
weka.classifiers.trees.J48,1713,3.1578947368421098,0.0
weka.classifiers.trees.J48,1711,3.191489361702125,0.0
weka.classifiers.trees.J48,1790,2.1276595744680833,0.0
weka.classifiers.trees.J48,1789,2.1276595744680833,0.0
weka.classifiers.rules.ZeroR,655,64.8936170212766,81.81818181818181
weka.classifiers.trees.J48,1783,1.05263157894737,30.0
weka.classifiers.lazy.IBk,2043,0.0,9.090909090909093
weka.classifiers.lazy.IBk,2036,0.0,30.0
weka.classifiers.lazy.IBk,2047,1.05263157894737,0.0
weka.classifiers.lazy.IBk,2043,1.0638297872340416,0.0
weka.classifiers.lazy.IBk,2041,1.0638297872340416,0.0
weka.classifiers.lazy.IBk,2048,1.05263157894737,0.0
weka.classifiers.lazy.IBk,2043,1.0638297872340416,0.0
weka.classifiers.trees.J48,1714,2.1276595744680833,9.090909090909093
weka.classifiers.meta.Bagging,5259,4.21052631578948,0.0
weka.classifiers.meta.Bagging,5849,2.1276595744680833,9.090909090909093
weka.classifiers.meta.Bagging,5139,3.191489361702125,0.0
weka.classifiers.trees.J48,1792,2.10526315789474,0.0
weka.classifiers.functions.Logistic,2138,2.10526315789474,0.0
weka.classifiers.functions.Logistic,2140,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,2197,0.0,9.090909090909093
weka.classifiers.functions.Logistic,2201,2.10526315789474,0.0
weka.classifiers.functions.Logistic,2201,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,2138,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,2140,0.0,20.0
weka.classifiers.functions.Logistic,2201,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,2199,2.10526315789474,0.0
weka.classifiers.functions.Logistic,2198,2.10526315789474,0.0
weka.classifiers.rules.OneR,814,3.191489361702125,0.0
weka.classifiers.rules.OneR,814,3.1578947368421098,0.0
weka.classifiers.rules.OneR,815,2.1276595744680833,9.090909090909093
weka.classifiers.functions.Logistic,2140,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,2200,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,2139,0.0,20.0
weka.classifiers.functions.Logistic,2200,2.10526315789474,0.0
weka.classifiers.functions.Logistic,2139,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,2199,2.10526315789474,0.0
weka.classifiers.functions.Logistic,2138,2.10526315789474,0.0
weka.classifiers.functions.Logistic,2198,0.0,9.090909090909093
weka.classifiers.functions.Logistic,2202,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,2200,2.10526315789474,0.0
weka.classifiers.trees.RandomTree,1213,1.0E100,1.0E100
weka.classifiers.meta.Stacking,5246,65.26315789473685,80.0
weka.classifiers.trees.RandomTree,1300,1.0E100,0.0
weka.classifiers.trees.RandomTree,1269,1.0638297872340416,0.0
weka.classifiers.trees.RandomTree,1242,1.0E100,1.0E100
weka.classifiers.trees.DecisionStump,981,30.526315789473685,60.0
weka.classifiers.trees.RandomTree,1273,1.0638297872340416,0.0
weka.classifiers.trees.RandomTree,1243,0.0,30.0
weka.classifiers.trees.RandomTree,1263,1.05263157894737,0.0
weka.classifiers.functions.MultilayerPerceptron,3408,30.526315789473685,60.0
weka.classifiers.trees.RandomTree,1127,65.26315789473685,80.0
weka.classifiers.functions.MultilayerPerceptron,4074,3.1578947368421098,0.0
weka.classifiers.functions.MultilayerPerceptron,4079,3.1578947368421098,0.0
weka.classifiers.functions.MultilayerPerceptron,4083,3.191489361702125,0.0
