classifier,size,training,validation
weka.classifiers.functions.MultilayerPerceptron,12240,1.05263157894737,0.0
weka.classifiers.functions.MultilayerPerceptron,12240,34.04255319148936,27.272727272727266
weka.classifiers.meta.AttributeSelectedClassifier,9428,64.21052631578948,90.0
weka.classifiers.functions.MultilayerPerceptron,12240,1.0638297872340416,0.0
weka.classifiers.trees.J48,4256,2.1276595744680833,0.0
weka.classifiers.trees.J48,4256,2.10526315789474,0.0
weka.classifiers.trees.J48,4256,1.0638297872340416,9.090909090909093
weka.classifiers.trees.J48,4256,2.10526315789474,0.0
weka.classifiers.trees.J48,3812,3.1578947368421098,0.0
weka.classifiers.trees.J48,3812,2.1276595744680833,9.090909090909093
weka.classifiers.trees.J48,3812,3.1578947368421098,0.0
weka.classifiers.trees.J48,3812,3.191489361702125,0.0
weka.classifiers.trees.J48,4256,2.1276595744680833,0.0
weka.classifiers.trees.J48,4256,2.1276595744680833,0.0
weka.classifiers.rules.ZeroR,944,64.8936170212766,81.81818181818181
weka.classifiers.trees.J48,4256,1.05263157894737,30.0
weka.classifiers.lazy.IBk,7860,0.0,9.090909090909093
weka.classifiers.lazy.IBk,7913,0.0,30.0
weka.classifiers.lazy.IBk,7913,1.05263157894737,0.0
weka.classifiers.lazy.IBk,7860,1.0638297872340416,0.0
weka.classifiers.lazy.IBk,7860,1.0638297872340416,0.0
weka.classifiers.lazy.IBk,7913,1.05263157894737,0.0
weka.classifiers.lazy.IBk,7860,1.0638297872340416,0.0
weka.classifiers.trees.J48,3852,2.1276595744680833,9.090909090909093
weka.classifiers.meta.Bagging,24691,4.21052631578948,0.0
weka.classifiers.meta.Bagging,27863,2.1276595744680833,9.090909090909093
weka.classifiers.meta.Bagging,24284,3.191489361702125,0.0
weka.classifiers.trees.J48,4256,2.10526315789474,0.0
weka.classifiers.functions.Logistic,7407,2.10526315789474,0.0
weka.classifiers.functions.Logistic,7407,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,7629,0.0,9.090909090909093
weka.classifiers.functions.Logistic,7629,2.10526315789474,0.0
weka.classifiers.functions.Logistic,7629,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,7407,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,7407,0.0,20.0
weka.classifiers.functions.Logistic,7629,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,7629,2.10526315789474,0.0
weka.classifiers.functions.Logistic,7629,2.10526315789474,0.0
weka.classifiers.rules.OneR,1300,3.191489361702125,0.0
weka.classifiers.rules.OneR,1300,3.1578947368421098,0.0
weka.classifiers.rules.OneR,1300,2.1276595744680833,9.090909090909093
weka.classifiers.functions.Logistic,7407,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,7629,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,7407,0.0,20.0
weka.classifiers.functions.Logistic,7629,2.10526315789474,0.0
weka.classifiers.functions.Logistic,7407,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,7629,2.10526315789474,0.0
weka.classifiers.functions.Logistic,7407,2.10526315789474,0.0
weka.classifiers.functions.Logistic,7629,0.0,9.090909090909093
weka.classifiers.functions.Logistic,7629,2.1276595744680833,0.0
weka.classifiers.functions.Logistic,7629,2.10526315789474,0.0
weka.classifiers.trees.RandomTree,2373,1.0E100,1.0E100
weka.classifiers.meta.Stacking,18265,65.26315789473685,80.0
weka.classifiers.trees.RandomTree,2822,1.0E100,0.0
weka.classifiers.trees.RandomTree,2638,1.0638297872340416,0.0
weka.classifiers.trees.RandomTree,2484,1.0E100,1.0E100
weka.classifiers.trees.DecisionStump,1659,30.526315789473685,60.0
weka.classifiers.trees.RandomTree,2560,1.0638297872340416,0.0
weka.classifiers.trees.RandomTree,2439,0.0,30.0
weka.classifiers.trees.RandomTree,2560,1.05263157894737,0.0
weka.classifiers.functions.MultilayerPerceptron,11144,30.526315789473685,60.0
weka.classifiers.trees.RandomTree,2046,65.26315789473685,80.0
weka.classifiers.functions.MultilayerPerceptron,13139,3.1578947368421098,0.0
weka.classifiers.functions.MultilayerPerceptron,13139,3.1578947368421098,0.0
weka.classifiers.functions.MultilayerPerceptron,13139,3.191489361702125,0.0
weka.classifiers.functions.MultilayerPerceptron,13139,2.1276595744680833,9.090909090909093
weka.classifiers.functions.MultilayerPerceptron,13139,3.1578947368421098,0.0
weka.classifiers.functions.MultilayerPerceptron,13139,3.191489361702125,0.0
weka.classifiers.functions.MultilayerPerceptron,13139,3.191489361702125,0.0
weka.classifiers.functions.MultilayerPerceptron,13139,1.05263157894737,20.0
weka.classifiers.functions.MultilayerPerceptron,13139,3.191489361702125,0.0
weka.classifiers.functions.MultilayerPerceptron,13139,3.1578947368421098,0.0
weka.classifiers.meta.Bagging,185886,3.1578947368421098,0.0
weka.classifiers.meta.Bagging,185886,4.21052631578948,0.0
weka.classifiers.meta.Bagging,185886,3.1578947368421098,10.0
weka.classifiers.rules.ZeroR,944,64.8936170212766,81.81818181818181
weka.classifiers.meta.Bagging,12070,2.10526315789474,0.0
weka.classifiers.meta.Bagging,12073,2.1276595744680833,9.090909090909093
weka.classifiers.meta.Bagging,12097,0.0,20.0
weka.classifiers.trees.RandomTree,2484,1.0E100,1.0E100
weka.classifiers.meta.Bagging,613667,2.1276595744680833,0.0
