timeout,openmlid,seed,algorithm,metric
85000,1485,0,rf,0.6007875900359357
85000,1485,0,random,0.3739461106847937
85000,1590,0,rf,0.5702043574461833
85000,1485,0,auto-sklearn,0.288015198265542
85000,1590,0,random,0.3580989826246132
85000,1515,0,rf,0.6375475939715822
85000,1485,0,gama,0.3247277145787057
85000,1590,0,auto-sklearn,0.359008532515845
85000,1515,0,random,0.3421629963779677
85000,1457,0,rf,2.313371332530555
85000,1485,0,naive,0.6290098447117641
85000,1515,0,auto-sklearn,0.4374168450576548
85000,1590,0,gama,0.358595572183286
85000,1457,0,random,0.9508255098819296
85000,1475,0,rf,1.6415527552026272
85000,1590,0,naive,0.4621927437358525
85000,1457,0,auto-sklearn,0.6295929098978739
85000,1515,0,gama,0.2857653086809936
85000,1475,0,random,1.009750952839348
85000,1485,0,semi-naive,0.34763594175533474
85000,1468,0,rf,0.2983994913798127
85000,1590,0,semi-naive,0.3621758891740319
85000,1515,0,naive,0.3967317488259928
85000,1457,0,gama,1.3508416504576486
85000,1468,0,random,0.12041880707021535
85000,1475,0,auto-sklearn,1.0361147438968576
85000,1486,0,rf,0.1924288854434966
85000,1468,0,auto-sklearn,0.12134911178289788
85000,1475,0,gama,1.0217969968000014
85000,1486,0,random,0.13096064703008392
85000,1515,0,semi-naive,0.3879194166703593
85000,1489,0,rf,0.2776408356550734
85000,1457,0,naive,1.020206634568397
85000,1486,0,auto-sklearn,0.13243070993755066
85000,1475,0,naive,1.052495779897675
85000,1468,0,gama,0.11331072727522007
85000,1489,0,random,0.22076342135393764
85000,1457,0,semi-naive,0.6087290049442458
85000,23512,0,rf,0.5553424132203543
85000,1475,0,semi-naive,1.0589387093424665
85000,23512,0,random,0.686808732767446
85000,1486,0,gama,0.1389781510836722
85000,1468,0,naive,0.12021724633889415
85000,23517,0,rf,0.7000204452251849
85000,1489,0,auto-sklearn,0.20122675682369004
85000,1486,0,naive,0.1867793842626293
85000,23512,0,auto-sklearn,0.5342477050480426
85000,1468,0,semi-naive,0.0846417753139783
85000,1489,0,gama,0.20604354616257056
85000,4541,0,rf,0.9291817289979488
85000,1486,0,semi-naive,0.13649030439309118
85000,23512,0,gama,0.5366058137581937
85000,4541,0,random,0.8946090396145343
85000,23517,0,auto-sklearn,0.6918581312888291
85000,1489,0,naive,0.20738704202296912
85000,4534,0,rf,0.11445806497787213
85000,23512,0,naive,0.6462145484151287
85000,4541,0,auto-sklearn,0.8955491228998412
85000,4534,0,random,0.10728983382556663
85000,23517,0,gama,0.6921120149593715
85000,1489,0,semi-naive,0.2490690559836128
85000,4538,0,rf,0.9013404077872882
85000,23512,0,semi-naive,0.5270993852928939
85000,4534,0,auto-sklearn,0.09153322109181518
85000,4541,0,gama,0.8952472217383274
85000,4538,0,random,0.7813166487923171
85000,23517,0,naive,0.6933654785632711
85000,4134,0,rf,0.4512990462655251
85000,4534,0,gama,0.08943716639882598
85000,4538,0,auto-sklearn,0.8435826952731151
85000,4134,0,random,0.4327472533929658
85000,4541,0,naive,0.8946937527799226
85000,23517,0,semi-naive,0.6921660999370983
85000,4135,0,rf,0.3883105305728766
85000,4534,0,naive,0.10831935850604472
