timeout,openmlid,seed,algorithm,metric
3600,1485,0,auto-sklearn,0.9516568047337278
3600,1485,1,auto-sklearn,0.9254437869822484
3600,1590,0,auto-sklearn,0.8927358511202934
3600,1590,1,auto-sklearn,0.8870007725368336
3600,1485,2,auto-sklearn,0.9463905325443788
3600,1515,0,auto-sklearn,0.4626863279166895
3600,1590,2,auto-sklearn,0.886762698696492
3600,1515,1,auto-sklearn,0.6074191636365385
3600,1485,3,auto-sklearn,0.9094082840236688
3600,1457,0,auto-sklearn,2.175600422722185
3600,1485,4,auto-sklearn,0.9295266272189351
3600,1590,3,auto-sklearn,0.8864556217309659
3600,1515,2,auto-sklearn,0.7493047421759209
3600,1457,1,auto-sklearn,2.1711786736222245
3600,1475,0,auto-sklearn,1.138239104625289
3600,1485,5,auto-sklearn,0.9449112426035504
3600,1590,4,auto-sklearn,0.88452425276848
3600,1515,3,auto-sklearn,0.4626488865247868
3600,1457,2,auto-sklearn,2.181150134545153
3600,1475,1,auto-sklearn,1.0629714043873546
3600,1468,0,auto-sklearn,0.11313788671586457
3600,1590,5,auto-sklearn,0.8895813449048836
3600,1515,4,auto-sklearn,0.5426293673770411
3600,1457,3,auto-sklearn,2.1455346659579506
3600,1475,2,auto-sklearn,1.1485506894579496
3600,1485,6,auto-sklearn,0.9183431952662722
3600,1468,1,auto-sklearn,0.2966085606605272
3600,1486,0,auto-sklearn,0.9881897705732268
3600,1515,5,auto-sklearn,0.6421764803686772
3600,1457,4,auto-sklearn,2.1384970234364924
3600,1485,7,auto-sklearn,0.938639053254438
3600,1590,6,auto-sklearn,0.8914280573086394
3600,1486,1,auto-sklearn,0.984589855553745
3600,1468,2,auto-sklearn,0.39058526459753706
3600,1475,3,auto-sklearn,1.1241513583548155
3600,1489,0,auto-sklearn,0.960003976406654
3600,1515,6,auto-sklearn,0.5570718484138772
3600,1457,5,auto-sklearn,2.0997007352955643
3600,1485,8,auto-sklearn,0.9337869822485207
3600,1489,1,auto-sklearn,0.9656040824441644
3600,23512,0,auto-sklearn,0.7753489194906109
3600,1475,4,auto-sklearn,1.136810972974157
3600,1590,7,auto-sklearn,0.8831295296533318
3600,1486,2,auto-sklearn,0.9846780824631968
3600,1468,3,auto-sklearn,0.20887453964312716
3600,1457,6,auto-sklearn,2.108222639971176
3600,1489,2,auto-sklearn,0.9748757820366794
3600,1475,5,auto-sklearn,1.089710065530975
3600,1485,9,auto-sklearn,0.9176923076923076
3600,23512,1,auto-sklearn,0.7743786562797912
3600,23517,0,auto-sklearn,0.5244422999764353
3600,1590,8,auto-sklearn,0.8936787144078917
3600,1515,7,auto-sklearn,0.6865186272877106
3600,1486,3,auto-sklearn,0.9819954745811308
3600,1468,4,auto-sklearn,0.4106415177681139
3600,1457,7,auto-sklearn,1.9961614163797408
3600,1468,5,auto-sklearn,0.23655667408194106
3600,1489,3,auto-sklearn,0.9752882894824044
3600,1590,9,auto-sklearn,0.8949896873202884
3600,1475,6,auto-sklearn,1.0074450239657813
3600,1486,4,auto-sklearn,0.9842372352440016
3600,1515,8,auto-sklearn,0.4131543337629612
3600,4541,0,auto-sklearn,0.9444345388660276
3600,23517,1,auto-sklearn,0.5173131224410025
3600,23512,2,auto-sklearn,0.7647848168541548
3600,1457,8,auto-sklearn,2.1222718098332067
3600,4541,1,auto-sklearn,0.924997739102158
3600,1475,7,auto-sklearn,1.1502639727128785
3600,1515,9,auto-sklearn,0.6123311113976545
3600,4534,0,auto-sklearn,0.99882554131566
3600,1468,6,auto-sklearn,0.3188277816906496
3600,1489,4,auto-sklearn,0.9732415523531256
3600,23517,2,auto-sklearn,0.5218238209098252
3600,23512,3,auto-sklearn,0.8013506711738573
3600,1486,5,auto-sklearn,0.9824715304950116
3600,1468,7,auto-sklearn,0.20081718280125374
3600,4534,1,auto-sklearn,0.9972904983494412
3600,1489,5,auto-sklearn,0.9507339783948572
3600,1457,9,auto-sklearn,2.150129798534244
3600,23512,4,auto-sklearn,0.8040128943998841
3600,1475,8,auto-sklearn,1.0895754183214512
3600,4538,0,auto-sklearn,0.9173114971961296
3600,4541,2,auto-sklearn,0.9445539613678212
3600,1486,6,auto-sklearn,0.982880639377068
3600,23517,3,auto-sklearn,0.5376556580861356
3600,4534,2,auto-sklearn,0.9967683292971816
3600,1486,7,auto-sklearn,0.9833765924986626
3600,4541,3,auto-sklearn,0.9444820151653404
3600,1475,9,auto-sklearn,1.1952258404009346
3600,1468,8,auto-sklearn,0.22079615550929416
3600,1489,6,auto-sklearn,0.9604978622955148
3600,4538,1,auto-sklearn,0.8147556829774907
3600,4134,0,auto-sklearn,0.8742839958758163
3600,23512,5,auto-sklearn,0.7754703484907949
3600,23517,4,auto-sklearn,0.5308140455435206
3600,1489,7,auto-sklearn,0.9613562455636442
3600,23512,6,auto-sklearn,0.8009242929047823
3600,4538,2,auto-sklearn,0.939899013179591
3600,1468,9,auto-sklearn,0.3054042574801873
3600,1486,8,auto-sklearn,0.9805238817010428
3600,4541,4,auto-sklearn,0.9444307867107152
3600,4134,1,auto-sklearn,0.9033537633176768
3600,4534,3,auto-sklearn,0.9973955224870356
3600,23517,5,auto-sklearn,0.5254766033437747
3600,4135,0,auto-sklearn,0.8180007842736092
3600,4541,5,auto-sklearn,0.9443755415079116
3600,23517,6,auto-sklearn,0.525349487973019
3600,1489,8,auto-sklearn,0.9704270456758944
3600,23512,7,auto-sklearn,0.7760997470928366
3600,4534,4,auto-sklearn,0.9987407866457456
3600,4134,2,auto-sklearn,0.8727210182318542
3600,4538,3,auto-sklearn,0.9025118977381332
3600,40978,0,auto-sklearn,0.9574082639531296
3600,1486,9,auto-sklearn,0.9878775270287228
3600,4135,1,auto-sklearn,0.846452045124325
3600,4134,3,auto-sklearn,0.8990720586550579
